Cpu,Ram,Gpu,OpSys,Price,Category,Label number
C,8,Q,NO,53115,Programmer,6
B,4,R,WI,53115,Programmer,6
B,4,R,WI,53115,Programmer,6
C,8,Q,WI,53425,Programmer,6
C,4,R,WI,53425,Programmer,6
B,8,R,WI,53425,Programmer,6
A,4,R,WI,53425,Programmer,6
A,4,R,WI,53425,Programmer,6
B,8,R,WI,53503,Programmer,6
B,12,Q,WI,53812,Programmer,6
B,6,Q,WI,53890,Programmer,6
B,8,Q,NO,54123,Programmer,6
B,6,Q,WI,54200,Programmer,6
A,4,Q,WI,54200,Programmer,6
B,4,Q,WI,54200,Programmer,6
C,8,R,WI,54200,Programmer,6
C,8,R,WI,54200,Programmer,6
B,4,R,WI,54200,Programmer,6
B,4,R,WI,54200,Programmer,6
B,4,Q,WI,54433,Programmer,6
B,4,R,WI,54704,Programmer,6
B,4,R,WI,54903,Programmer,6
C,8,R,LI,54976,Programmer,6
C,12,S,WI,55291,Programmer,6
B,8,R,WI,55363,Programmer,6
B,8,R,WI,55519,Programmer,6
B,6,R,WI,55751,Programmer,6
B,8,R,WI,55751,Programmer,6
C,8,R,WI,55751,Programmer,6
B,4,R,WI,55751,Programmer,6
B,4,R,WI,55984,Programmer,6
B,4,R,WI,55984,Programmer,6
B,4,Q,WI,56294,Programmer,6
B,8,R,LI,56294,Programmer,6
B,8,Q,WI,56449,Programmer,6
B,4,R,WI,56596,Programmer,6
B,4,R,WI,56992,Programmer,6
C,8,Q,LI,56997,Programmer,6
A,4,R,WI,57059,Programmer,6
C,4,Q,WI,57302,Programmer,6
A,8,Q,WI,57302,Programmer,6
B,8,R,WI,57302,Programmer,6
B,8,R,WI,57302,Programmer,6
B,8,R,WI,57302,Programmer,6
A,8,R,WI,57380,Programmer,6
C,8,R,WI,57535,Programmer,6
A,4,Q,WI,57690,Programmer,6
C,8,Q,WI,57767,Programmer,6
C,8,Q,WI,57767,Programmer,6
C,8,R,WI,57767,Programmer,6
C,8,Q,WI,58077,Programmer,6
B,4,R,WI,58077,Programmer,6
B,8,R,WI,58077,Programmer,6
C,8,Q,LI,58078,Programmer,6
B,4,R,WI,58465,Programmer,6
B,4,R,WI,58543,Programmer,6
B,8,R,WI,58853,Programmer,6
C,8,Q,WI,59535,Programmer,6
B,8,Q,WI,59628,Programmer,6
B,8,R,WI,59706,Programmer,6
A,4,Q,WI,60094,Data Scientist,7
B,4,R,WI,60171,Data Scientist,7
C,8,Q,LI,60394,Data Scientist,7
D,8,R,LI,60404,Data Scientist,7
C,8,R,NO,60404,Data Scientist,7
C,4,S,WI,60404,Data Scientist,7
B,4,R,WI,60481,Data Scientist,7
B,4,R,WI,60869,Data Scientist,7
C,8,R,WI,61024,Data Scientist,7
B,8,R,WI,61179,Data Scientist,7
C,6,R,WI,61179,Data Scientist,7
C,8,S,WI,61180,Data Scientist,7
B,8,Q,WI,61242,Data Scientist,7
B,8,R,WI,61489,Data Scientist,7
B,8,R,WI,61567,Data Scientist,7
B,8,R,WI,61644,Data Scientist,7
B,8,R,WI,61831,Data Scientist,7
C,8,R,LI,61877,Data Scientist,7
C,4,Q,WI,61954,Data Scientist,7
B,8,R,WI,61954,Data Scientist,7
B,8,R,WI,61954,Data Scientist,7
C,8,R,NO,61954,Data Scientist,7
B,8,R,WI,62032,Data Scientist,7
B,4,Q,WI,62420,Data Scientist,7
B,8,R,WI,62497,Data Scientist,7
C,8,R,NO,62730,Data Scientist,7
B,8,R,WI,62807,Data Scientist,7
B,8,R,WI,62962,Data Scientist,7
C,8,R,WI,62962,Data Scientist,7
B,8,R,WI,63040,Data Scientist,7
B,8,Q,WI,63424,Data Scientist,7
B,8,R,WI,63505,Data Scientist,7
C,8,R,WI,63505,Data Scientist,7
B,8,R,WI,63505,Data Scientist,7
C,8,R,WI,63505,Data Scientist,7
B,4,R,WI,63971,Data Scientist,7
B,4,R,WI,64281,Data Scientist,7
C,8,R,WI,64281,Data Scientist,7
B,8,R,WI,64358,Data Scientist,7
C,8,R,WI,64513,Data Scientist,7
B,8,R,WI,64823,Data Scientist,7
B,8,R,WI,64870,Data Scientist,7
B,4,R,WI,65056,Data Scientist,7
C,8,R,WI,65056,Data Scientist,7
C,12,R,WI,65056,Data Scientist,7
C,8,R,WI,65056,Data Scientist,7
C,8,Q,WI,65211,Data Scientist,7
B,8,R,WI,65444,Data Scientist,7
D,8,R,LI,65599,Data Scientist,7
C,8,R,WI,65599,Data Scientist,7
B,8,R,WI,65638,Data Scientist,7
B,8,R,WI,65676,Data Scientist,7
C,8,Q,NO,65831,Data Scientist,7
A,4,R,WI,65831,Data Scientist,7
C,4,S,WI,65901,Data Scientist,7
B,8,R,WI,65960,Data Scientist,7
B,8,Q,WI,66219,Data Scientist,7
C,8,R,WI,66297,Data Scientist,7
B,8,Q,WI,66457,Data Scientist,7
B,8,R,WI,66607,Data Scientist,7
C,8,R,WI,66607,Data Scientist,7
C,6,R,WI,66607,Data Scientist,7
C,16,Q,WI,66608,Data Scientist,7
B,8,R,WI,66684,Data Scientist,7
B,8,R,WI,66684,Data Scientist,7
C,8,Q,LI,67072,Data Scientist,7
C,4,R,LI,67382,Data Scientist,7
D,8,R,NO,67382,Data Scientist,7
C,8,R,WI,67383,Data Scientist,7
C,8,R,WI,67460,Data Scientist,7
D,8,R,LI,68158,Data Scientist,7
C,16,R,WI,68158,Data Scientist,7
B,8,R,WI,68158,Data Scientist,7
B,8,R,WI,68158,Data Scientist,7
C,8,R,WI,68158,Data Scientist,7
C,8,R,WI,68235,Data Scientist,7
B,4,R,WI,68313,Data Scientist,7
C,8,R,WI,68545,Data Scientist,7
B,8,R,LI,68933,Data Scientist,7
C,8,R,NO,68933,Data Scientist,7
B,8,R,WI,68933,Data Scientist,7
B,8,R,WI,68933,Data Scientist,7
B,8,R,WI,69088,Data Scientist,7
B,8,R,WI,69476,Data Scientist,7
C,8,R,WI,69701,Data Scientist,7
C,8,R,MA,69704,Data Scientist,7
C,16,Q,LI,69708,Data Scientist,7
C,8,Q,WI,69708,Data Scientist,7
C,8,Q,WI,69708,Data Scientist,7
B,12,R,WI,69708,Data Scientist,7
B,8,R,WI,69708,Data Scientist,7
B,8,R,WI,69708,Data Scientist,7
D,8,R,WI,69708,Data Scientist,7
C,8,R,WI,69786,Data Scientist,7
B,8,R,WI,69941,Data Scientist,7
C,8,R,WI,69941,Data Scientist,7
C,8,R,WI,70299,Home User,8
B,4,R,WI,70561,Home User,8
B,8,R,WI,70561,Home User,8
B,8,R,WI,70639,Home User,8
B,4,R,WI,70755,Home User,8
B,8,R,WI,70872,Home User,8
B,4,R,WI,70949,Home User,8
C,8,R,WI,71259,Home User,8
B,8,S,WI,71259,Home User,8
B,8,R,WI,71569,Home User,8
B,8,R,WI,71957,Home User,8
B,8,R,WI,71957,Home User,8
D,8,R,LI,72035,Home User,8
C,8,R,WI,72258,Home User,8
B,4,S,WI,72267,Home User,8
B,8,R,WI,72500,Home User,8
C,8,S,WI,72500,Home User,8
B,8,R,WI,72733,Home User,8
C,8,R,WI,72733,Home User,8
B,8,R,WI,72965,Home User,8
B,8,R,WI,73120,Home User,8
B,8,R,WI,73275,Home User,8
B,8,R,WI,73275,Home User,8
D,12,R,LI,73585,Home User,8
D,8,R,WI,73585,Home User,8
B,12,R,WI,73585,Home User,8
B,8,R,WI,73585,Home User,8
B,8,R,WI,73585,Home User,8
B,8,R,WI,73585,Home User,8
C,6,R,WI,73585,Home User,8
C,8,R,WI,73741,Home User,8
C,8,R,WI,74051,Home User,8
B,8,R,WI,74051,Home User,8
C,4,R,WI,74361,Home User,8
B,8,R,WI,74361,Home User,8
B,8,R,WI,74361,Home User,8
B,8,R,WI,74438,Home User,8
B,8,R,WI,74438,Home User,8
C,8,S,WI,74516,Home User,8
C,8,R,WI,75284,Home User,8
B,8,R,WI,75446,Home User,8
B,8,R,WI,75757,Home User,8
B,8,R,WI,75757,Home User,8
D,8,R,LI,75912,Home User,8
C,8,R,WI,75912,Home User,8
B,8,R,WI,75912,Home User,8
B,8,R,WI,75912,Home User,8
B,8,R,WI,75912,Home User,8
B,8,R,WI,75989,Home User,8
C,8,R,WI,76377,Home User,8
C,8,R,WI,76377,Home User,8
C,8,R,WI,76610,Home User,8
C,8,R,WI,76687,Home User,8
D,4,R,WI,76687,Home User,8
B,4,R,WI,76765,Home User,8
C,8,R,WI,77377,Home User,8
C,8,R,MA,77385,Home User,8
B,8,R,WI,77462,Home User,8
B,8,R,WI,77462,Home User,8
B,8,R,WI,77462,Home User,8
B,12,R,WI,77462,Home User,8
D,8,R,WI,77462,Home User,8
C,8,R,WI,77462,Home User,8
D,4,R,WI,77462,Home User,8
C,16,R,WI,77462,Home User,8
C,8,S,WI,77462,Home User,8
B,8,R,NO,77532,Home User,8
B,4,R,WI,77695,Home User,8
C,8,R,WI,78201,Home User,8
B,12,S,WI,78238,Home User,8
C,8,S,WI,78315,Home User,8
B,8,R,WI,78470,Home User,8
C,8,R,NO,78858,Home User,8
C,8,R,WI,78936,Home User,8
C,8,R,WI,79012,Home User,8
B,4,R,WI,79091,Home User,8
B,8,R,WI,79556,Home User,8
C,8,R,WI,79691,Home User,8
C,8,R,WI,79944,Home User,8
B,8,R,WI,80176,Gamer,9
D,8,R,WI,80564,Gamer,9
C,8,R,WI,80874,Gamer,9
C,8,R,WI,81029,Gamer,9
D,8,R,WI,81262,Gamer,9
C,16,R,LI,81339,Gamer,9
C,8,R,WI,81339,Gamer,9
B,8,R,WI,81339,Gamer,9
B,8,R,WI,81339,Gamer,9
C,8,S,WI,81339,Gamer,9
C,8,R,WI,81409,Gamer,9
B,4,S,WI,81805,Gamer,9
C,16,R,WI,82115,Gamer,9
D,8,S,WI,82230,Gamer,9
B,8,S,WI,82503,Gamer,9
D,16,R,WI,83666,Gamer,9
C,8,S,WI,83666,Gamer,9
C,4,S,WI,83898,Gamer,9
C,8,R,WI,84053,Gamer,9
B,8,R,WI,84131,Gamer,9
C,8,R,WI,84131,Gamer,9
C,8,R,LI,84441,Gamer,9
B,4,R,WI,84441,Gamer,9
C,8,R,WI,84441,Gamer,9
B,4,S,WI,84519,Gamer,9
C,8,R,WI,84829,Gamer,9
B,4,R,WI,84984,Gamer,9
B,8,R,WI,84996,Gamer,9
C,8,R,WI,85061,Gamer,9
C,8,R,LI,85216,Gamer,9
C,8,R,LI,85216,Gamer,9
B,8,R,WI,85216,Gamer,9
C,8,R,WI,85216,Gamer,9
B,8,R,WI,85216,Gamer,9
D,8,R,WI,85216,Gamer,9
C,8,R,WI,85216,Gamer,9
C,8,S,MA,85216,Gamer,9
C,16,S,WI,85216,Gamer,9
B,8,S,WI,85216,Gamer,9
C,12,S,WI,85216,Gamer,9
D,8,S,WI,85216,Gamer,9
C,8,R,WI,85527,Gamer,9
B,4,R,WI,85682,Gamer,9
D,8,R,WI,85992,Gamer,9
B,8,S,WI,86536,Gamer,9
B,8,R,WI,86611,Gamer,9
C,8,R,WI,86690,Gamer,9
C,8,R,WI,86767,Gamer,9
B,8,R,WI,86767,Gamer,9
B,8,S,WI,86767,Gamer,9
C,8,R,WI,86838,Gamer,9
C,8,R,WI,87155,Gamer,9
B,8,S,WI,87365,Gamer,9
D,16,R,WI,87543,Gamer,9
B,8,S,WI,87543,Gamer,9
C,8,R,WI,87646,Gamer,9
C,16,R,WI,88008,Gamer,9
B,8,S,WI,88008,Gamer,9
C,8,R,WI,88551,Gamer,9
C,8,R,WI,88582,Gamer,9
B,8,R,WI,88609,Gamer,9
B,8,R,WI,88706,Gamer,9
B,8,S,WI,88745,Gamer,9
C,8,R,WI,88783,Gamer,9
C,8,S,WI,88783,Gamer,9
D,8,R,NO,89093,Gamer,9
B,4,R,WI,89093,Gamer,9
B,8,R,WI,89093,Gamer,9
C,8,S,WI,89093,Gamer,9
B,8,S,WI,89171,Gamer,9
B,8,S,WI,89481,Gamer,9
C,8,R,MA,89846,Gamer,9
D,8,R,WI,89869,Gamer,9
D,8,S,CH,89869,Gamer,9
B,8,R,WI,90334,Data Scientist,10
D,8,S,MA,90334,Data Scientist,10
D,8,R,WI,90567,Data Scientist,10
D,8,R,NO,90644,Data Scientist,10
D,16,R,WI,91420,Data Scientist,10
C,8,R,WI,91420,Data Scientist,10
C,8,S,WI,91420,Data Scientist,10
B,8,R,WI,91497,Data Scientist,10
C,16,Q,WI,91596,Data Scientist,10
B,8,S,WI,91962,Data Scientist,10
D,8,R,WI,92040,Data Scientist,10
D,8,R,WI,92195,Data Scientist,10
D,8,R,WI,92350,Data Scientist,10
B,8,S,WI,92350,Data Scientist,10
D,8,R,WI,92412,Data Scientist,10
C,8,R,WI,92505,Data Scientist,10
C,8,R,WI,92660,Data Scientist,10
B,4,R,WI,92660,Data Scientist,10
C,8,S,WI,92738,Data Scientist,10
C,16,R,WI,92815,Data Scientist,10
B,8,R,NO,92970,Data Scientist,10
D,8,R,WI,92970,Data Scientist,10
D,8,R,WI,92970,Data Scientist,10
